
hepatotoxic : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
THepatitis : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
alcoholism : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
gallstones : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
choledocholithotomy : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hospital : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
injections : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
surgery : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
transfusion : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ChHepatitis : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
vh_amn : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
