
SocioEcon : Demographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
GoodStudent : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, Miscellaneous
Age : Demographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
RiskAversion : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
VehicleYear : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Accident : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, Accident-Related, notMiscellaneous
ThisCarDam : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, Accident-Related, notMiscellaneous
RuggedAuto : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
MakeModel : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Antilock : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Mileage : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
DrivQuality : notDemographics, notVehicle Characteristics, Driver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
DrivingSkill : notDemographics, notVehicle Characteristics, Driver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
SeniorTrain : Demographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
ThisCarCost : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
CarValue : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Theft : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, Safety Features, notAccident-Related, notMiscellaneous
AntiTheft : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, Safety Features, notAccident-Related, notMiscellaneous
HomeBase : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, Miscellaneous
OtherCarCost : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
PropCost : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
OtherCar : notDemographics, notVehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, Accident-Related, notMiscellaneous
MedCost : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Cushioning : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
Airbag : notDemographics, Vehicle Characteristics, notDriver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
ILiCost : notDemographics, notVehicle Characteristics, notDriver Behavior, Financial Factors, notSafety Features, notAccident-Related, notMiscellaneous
DrivHist : notDemographics, notVehicle Characteristics, Driver Behavior, notFinancial Factors, notSafety Features, notAccident-Related, notMiscellaneous
