
SocioEcon : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
GoodStudent : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
Age : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
RiskAversion : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
VehicleYear : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
Accident : notSafety, notFinancial, notVehicle Characteristics, notDriver Characteristics, Accident-Related
ThisCarDam : notSafety, notFinancial, notVehicle Characteristics, notDriver Characteristics, Accident-Related
RuggedAuto : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
MakeModel : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
Antilock : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
Mileage : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
DrivQuality : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
DrivingSkill : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
SeniorTrain : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
ThisCarCost : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
CarValue : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
Theft : notSafety, notFinancial, notVehicle Characteristics, notDriver Characteristics, Accident-Related
AntiTheft : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
HomeBase : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
OtherCarCost : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
PropCost : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
OtherCar : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
MedCost : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
Cushioning : notSafety, notFinancial, Vehicle Characteristics, notDriver Characteristics, notAccident-Related
Airbag : Safety, notFinancial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
ILiCost : notSafety, Financial, notVehicle Characteristics, notDriver Characteristics, notAccident-Related
DrivHist : notSafety, notFinancial, notVehicle Characteristics, Driver Characteristics, notAccident-Related
