
AppOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
AppData : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
DataFile : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
EMFOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
DskLocal : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PrtThread : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
GDIIN : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtSpool : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtDriver : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
GDIOUT : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
DrvSet : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
DrvOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
PrtDataOut : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtSel : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtPath : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
NetOK : notPrinting, Network, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
NtwrkCnfg : notPrinting, Network, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PTROFFLINE : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtCbl : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
LclOK : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PrtPort : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
CblPrtHrdwrOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
DS_NTOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtMpTPth : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
DS_LCLOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
NetPrint : notPrinting, Network, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PC2PRT : notPrinting, Network, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
DSApplctn : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtOn : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtData : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtPaper : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtMem : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtTimeOut : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, Timing, notMiscellaneous
FllCrrptdBffr : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
TnrSpply : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem1 : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
AppDtGnTm : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, Timing, notMiscellaneous
PrntPrcssTm : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, Timing, notMiscellaneous
