A,R,S,H,B,W,F
13464,2622,22048,385,5640,0,952
2175,208,3473,514,1095,23,731
18835,259,128475,11942,59864,0,7314
0,0,0,0,0,0,0
8287,280,47194,3138,11597,62,2893
0,0,0,0,0,0,0
4028,670,21544,2670,8435,140,4937
14622,1554,15511,911,2377,0,205
9135,622,46918,11538,4883,0,5998
23347,1014,0,0,0,212,0
0,0,0,0,0,0,0
10714,1530,18217,0,3089,232,280
14378,1333,42518,3466,4210,8,0
16598,1568,96372,6798,28835,512,7948
17991,0,55492,11938,15042,0,0
0,0,0,0,0,0,0
19411,370,77456,7330,0,91,0
1610,187,4056,1191,1394,9,1054
19468,1333,152387,2771,23304,106,3417
58,13,276,0,0,0,0
2283,444,6936,0,4606,0,284
5890,0,19123,3197,6591,0,3163
15223,1612,0,0,0,153,502
10842,0,38025,1647,12898,0,1437
3401,13,15882,138,1335,5,0
11121,727,29817,0,9682,102,854
10476,6,47150,6078,1338,1,990
15079,690,37212,418,0,0,0
2171,17,6356,0,3471,5,92
10753,1513,36661,6270,19756,0,3805
7456,329,5857,1372,674,78,513
0,0,0,0,0,0,0
4755,482,7757,1677,3278,0,0
3721,554,4337,327,126,109,860
2839,341,0,0,0,0,0
6612,0,30570,2211,5362,0,970
13486,0,0,0,0,0,0
549,130,1553,323,290,18,32
1189,126,8991,217,3719,19,677
782,48,4514,1177,269,0,452
7559,1206,33909,4675,0,11,1643
0,0,0,0,0,0,0
1733,166,0,0,0,0,19
0,0,0,0,0,0,0
17365,187,55573,5240,15035,44,6835
0,0,0,0,0,0,0
1232,230,7275,767,2929,33,0
10980,0,6020,0,262,0,0
10669,1573,28716,5212,15976,224,5042
9647,639,52040,250,15401,0,1590
11869,0,0,0,323,0,0
10912,864,51237,6841,0,123,655
14538,0,63130,216,28822,72,2397
11987,2381,45256,2304,3271,684,833
0,0,0,0,0,0,0
410,86,0,0,0,14,0
19732,2594,72381,8593,25142,664,0
16852,533,42847,3672,13194,0,409
16190,1580,119358,11260,0,0,0
10324,2717,30379,0,9692,104,1418
14374,1284,0,0,122,0,404
0,0,0,0,0,0,0
4199,687,18140,576,4993,73,2088
3726,117,0,0,0,15,372
6829,966,8845,0,1943,57,0
2830,196,0,0,0,24,0
7317,1002,40528,8215,16385,151,0
0,0,0,0,0,0,0
552,0,2018,353,164,0,74
13816,915,109631,0,34683,47,2096
10849,0,24124,0,2315,59,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17264,4974,121107,13709,0,0,0
4125,284,0,0,0,47,450
17150,3734,91224,619,29539,295,2667
12046,2071,48525,1678,20504,458,972
5007,519,26127,7745,10970,94,4242
14360,0,84397,11998,35941,8,11095
8080,1145,0,0,0,228,0
10111,1259,26334,436,7499,278,1886
5278,732,15011,0,0,0,0
13009,861,50897,3788,28114,170,3351
19830,2411,111767,18459,40437,660,10698
2456,356,9799,0,4761,35,675
9642,963,7144,704,2904,172,2038
11117,0,22772,3464,2530,0,479
18948,0,67144,14802,36109,0,16755
13400,1754,97191,2706,0,432,0
5574,374,17255,0,8734,0,367
8433,304,11046,1371,4184,0,1808
23760,3490,81157,3730,11498,958,463
3927,0,24591,1933,8434,0,1650
4304,106,0,0,0,28,0
1181,139,7177,299,3220,25,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
15517,2794,19024,3871,3799,128,4874
0,0,0,0,0,0,0
24282,4021,176265,30052,47527,944,38073
0,0,0,0,0,0,0
9057,2162,3276,134,160,646,1303
0,0,0,0,0,0,0
0,0,0,0,0,0,0
30911,1670,151139,24329,37599,20,20087
14877,882,63036,8439,22213,223,3231
9822,945,28978,2925,11181,209,622
1682,153,14970,646,2376,28,701
26200,1179,113604,3080,42746,0,7262
12863,292,27192,2734,9025,20,741
6299,462,8101,1132,2481,96,689
4445,142,30778,5103,5098,0,1856
14383,790,28690,588,16372,151,607
19642,0,0,0,0,0,0
15325,0,0,442,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3735,244,10846,690,6144,65,0
10658,1581,15371,1838,2514,264,1157
12432,881,29758,3179,13636,0,2829
23883,761,45355,0,25763,23,4366
15243,3729,9839,435,1912,723,2063
6386,515,34287,0,19202,23,0
18811,1176,26064,2979,0,75,2279
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4500,0,13870,1314,5424,0,0
20943,2949,218516,50789,45598,696,18830
0,0,0,0,0,0,0
2843,329,758,140,206,0,358
0,0,0,0,0,0,0
10701,188,5856,822,1763,26,960
1467,158,7692,0,3331,34,0
14540,628,0,0,0,205,0
6191,443,22737,370,9475,0,1293
3348,388,7272,960,0,0,356
0,0,0,0,0,0,0
3346,182,2065,250,923,0,392
5240,295,2962,428,2214,30,156
16338,1360,8877,1928,0,0,529
16275,1743,0,0,2158,0,0
10821,2011,156170,34408,59842,294,0
9843,1343,69063,3709,7564,197,6464
2422,449,7916,1020,2167,2,43
6011,812,0,0,0,44,65
13473,803,47674,846,28518,0,829
0,0,0,0,0,0,0
13520,1866,81999,8331,32192,253,7837
12946,1681,82482,0,12350,55,368
5333,538,24620,821,8933,51,1076
13779,1508,53762,7985,9867,76,5112
5342,572,28753,4327,7185,0,1965
4391,502,17106,2483,3557,68,1270
4033,0,18485,484,9557,0,1341
